,,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Year,29,3410,Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.55,0.03,0.0,0.01,0.59
Year,30,4017,Raiders of the Lost Ark,2600,1981,Action,Atari,0.46,0.03,0.0,0.01,0.5
Year,31,4141,Grand Prix,2600,1981,Racing,Activision,0.45,0.03,0.0,0.0,0.48
Year,32,4348,Phoenix,2600,1981,Simulation,Atari,0.42,0.02,0.0,0.0,0.45
Year,33,4404,Jawbreaker,2600,1981,Action,Tigervision,0.42,0.03,0.0,0.0,0.45
Year,34,4519,Barnstorming,2600,1981,Action,Activision,0.4,0.02,0.0,0.0,0.43
Year,35,4786,Mouse Trap,2600,1981,Action,Coleco,0.38,0.02,0.0,0.0,0.4
Year,36,4910,Laser Blast,2600,1981,Action,Activision,0.37,0.02,0.0,0.0,0.39
Year,37,4969,Airlock,2600,1981,Action,Data Age,0.36,0.02,0.0,0.0,0.39
Year,38,5129,Dragonfire,2600,1981,Action,Imagic,0.35,0.02,0.0,0.0,0.37
Year,39,5248,Frogs And Flies,2600,1981,Action,Mattel Interactive,0.33,0.02,0.0,0.0,0.36
Year,40,5391,Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34
Year,41,5402,Carnival,2600,1981,Shooter,Coleco,0.32,0.02,0.0,0.0,0.34
Year,42,5566,Fireball,2600,1981,Action,Starpath Corp.,0.3,0.02,0.0,0.0,0.33
Year,43,5802,Astroblast,2600,1981,Action,Mattel Interactive,0.29,0.02,0.0,0.0,0.31
Year,44,6023,Fast Food,2600,1981,Action,Unknown,0.27,0.02,0.0,0.0,0.29
Year,45,6539,RealSports Football,2600,1981,Sports,Atari,0.24,0.01,0.0,0.0,0.26
Year,46,6868,Front Line,2600,1981,Action,Taito,0.22,0.01,0.0,0.0,0.24
Year,47,6942,Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.22,0.01,0.0,0.0,0.24
Year,48,7150,Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0.0,0.0,0.22
Year,49,7152,Reactor,2600,1981,Action,Parker Bros.,0.21,0.01,0.0,0.0,0.22
Year,50,7186,Crazy Climber,2600,1981,Action,Atari,0.21,0.01,0.0,0.0,0.22
Year,51,7373,RealSports Baseball,2600,1981,Sports,Atari,0.2,0.01,0.0,0.0,0.21
Year,52,7906,International Soccer,2600,1981,Sports,Mattel Interactive,0.18,0.01,0.0,0.0,0.19
Year,53,8461,Armor Ambush,2600,1981,Action,Mattel Interactive,0.15,0.01,0.0,0.0,0.17
Year,54,9497,RealSports Volleyball,2600,1981,Sports,Atari,0.12,0.01,0.0,0.0,0.13
Year,55,90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81
Year,56,1117,Dig Dug,2600,1982,Puzzle,Atari,1.52,0.1,0.0,0.02,1.64
Year,57,1165,Mario Bros.,2600,1982,Platform,Atari,1.48,0.09,0.0,0.02,1.59
Year,58,1707,Pole Position,2600,1982,Racing,Atari,1.1,0.07,0.0,0.01,1.18
Year,59,1819,Moon Patrol,2600,1982,Shooter,Atari,1.05,0.06,0.0,0.01,1.12
Year,60,1853,Jungle Hunt,2600,1982,Platform,Atari,1.03,0.06,0.0,0.01,1.1
Year,61,1907,Joust,2600,1982,Platform,Atari,1.01,0.06,0.0,0.01,1.08
Year,62,2408,Enduro,2600,1982,Misc,Quelle,0.81,0.05,0.0,0.01,0.87
Year,63,2631,Yars' Revenge,2600,1982,Shooter,Atari,0.73,0.04,0.0,0.01,0.78
Year,64,2662,Galaxian,2600,1982,Shooter,Atari,0.72,0.05,0.0,0.01,0.77
Year,65,2845,Kangaroo,2600,1982,Platform,Atari,0.67,0.04,0.0,0.01,0.72
Year,66,3081,Keystone Kapers,2600,1982,Action,Activision,0.62,0.04,0.0,0.01,0.66
Year,67,3217,X-Man,2600,1982,Action,Universal Gamex,0.58,0.04,0.0,0.01,0.63
Year,68,3250,Battlezone,2600,1982,Shooter,Atari,0.58,0.03,0.0,0.01,0.62
Year,69,3268,Halloween,2600,1982,Action,Wizard Video Games,0.58,0.03,0.0,0.01,0.62
Year,70,3449,Q*bert,2600,1982,Puzzle,Parker Bros.,0.55,0.03,0.0,0.01,0.58
Year,71,3645,The Activision Decathlon,2600,1982,Sports,Activision,0.52,0.03,0.0,0.01,0.55
Year,72,3718,Action Force,2600,1982,Action,CPG Products,0.5,0.03,0.0,0.01,0.54
Year,73,3750,Popeye,2600,1982,Platform,Parker Bros.,0.5,0.03,0.0,0.01,0.54
Year,74,3968,Chopper Command,2600,1982,Shooter,Activision,0.47,0.03,0.0,0.01,0.5
Year,75,4015,RealSports Tennis,2600,1982,Sports,Atari,0.46,0.03,0.0,0.01,0.5
Year,76,4018,Gauntlet,2600,1982,Action,Answer Software,0.46,0.03,0.0,0.01,0.5
Year,77,4803,Congo Bongo,2600,1982,Action,Sega,0.37,0.02,0.0,0.0,0.4
Year,78,4896,Bump 'n' Jump,2600,1982,Racing,Mattel Interactive,0.37,0.02,0.0,0.0,0.39
Year,79,5066,Gravitar,2600,1982,Action,Atari,0.35,0.02,0.0,0.0,0.38
Year,80,5383,Alien's Return,2600,1982,Action,ITT Family Games,0.32,0.02,0.0,0.0,0.34
Year,81,5397,Bank Heist,2600,1982,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34
Year,82,5660,Frankenstein's Monster,2600,1982,Action,Data Age,0.3,0.02,0.0,0.0,0.32
Year,83,5775,Mountain King,2600,1982,Action,CBS Electronics,0.29,0.02,0.0,0.0,0.31
Year,84,6147,Polaris,2600,1982,Action,Tigervision,0.26,0.02,0.0,0.0,0.28
Year,85,6267,Mr. Do!,2600,1982,Action,Coleco,0.26,0.02,0.0,0.0,0.27
Year,86,6730,Porky's,2600,1982,Action,20th Century Fox Video Games,0.23,0.01,0.0,0.0,0.25
Year,87,7151,Assault,2600,1982,Action,Bomb,0.21,0.01,0.0,0.0,0.22
Year,88,8460,Death Trap,2600,1982,Action,Avalon Interactive,0.15,0.01,0.0,0.0,0.17
Year,89,8760,Pressure Cooker,2600,1982,Action,Activision,0.14,0.01,0.0,0.0,0.15
Year,90,9108,Krull,2600,1982,Action,Atari,0.13,0.01,0.0,0.0,0.14
Year,91,422,Baseball,NES,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2
Year,92,702,Mario Bros.,NES,1983,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28
Year,93,765,Mahjong,NES,1983,Misc,Nintendo,0.01,0.0,2.13,0.0,2.14
Year,94,1510,Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.22,0.07,0.0,0.02,1.31
Year,95,1811,Donkey Kong,NES,1983,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13
Year,96,1841,Donkey Kong Jr.,NES,1983,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11
Year,97,1863,Popeye,NES,1983,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1
Year,98,2654,Jr. Pac-Man,2600,1983,Puzzle,Atari,0.72,0.05,0.0,0.01,0.78
Year,99,2674,Crystal Castles,2600,1983,Action,Atari,0.72,0.04,0.0,0.01,0.77
Year,100,3955,Midnight Magic,2600,1983,Action,Atari,0.47,0.03,0.0,0.01,0.5
Year,101,4098,Millipede,2600,1983,Shooter,Atari,0.45,0.03,0.0,0.01,0.48
Year,102,4269,Gremlins,2600,1983,Action,Atari,0.43,0.03,0.0,0.0,0.46
Year,103,4782,Pengo,2600,1983,Adventure,Atari,0.38,0.02,0.0,0.0,0.4
Year,104,5384,Frostbite,2600,1983,Action,Activision,0.32,0.02,0.0,0.0,0.34
Year,105,5561,Frogger II: Threeedeep!,2600,1983,Action,Parker Bros.,0.31,0.02,0.0,0.0,0.33
Year,106,6009,Dolphin,2600,1983,Action,Activision,0.27,0.02,0.0,0.0,0.29
Year,107,8459,Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,0.15,0.01,0.0,0.0,0.17
Year,108,10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
Year,109,278,Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
Year,110,299,Golf,NES,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
Year,111,756,Tennis,NES,1984,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17
Year,112,940,Pinball,NES,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85
Year,113,1235,F1 Race,NES,1984,Racing,Nintendo,0.0,0.0,1.52,0.0,1.52
Year,114,1236,Xevious,NES,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52
Year,115,1326,4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,0.0,0.0,1.45,0.0,1.45
Year,116,1562,Hogan's Alley,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27
Year,117,1640,Pac-Man,NES,1984,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22
Year,118,1859,Lode Runner,NES,1984,Puzzle,Hudson Soft,0.0,0.0,1.1,0.0,1.1
Year,119,2515,Clu Clu Land,NES,1984,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82
Year,120,2957,Mappy,NES,1984,Platform,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69
Year,121,6298,Beamrider,2600,1984,Racing,Activision,0.26,0.01,0.0,0.0,0.27
Year,122,2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
Year,123,375,Kung Fu,NES,1985,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
Year,124,870,Soccer,NES,1985,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96
Year,125,1262,Ice Climber,NES,1985,Platform,Nintendo,0.46,0.1,0.92,0.02,1.5
Year,126,1492,Gyromite,NES,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32
Year,127,1975,Tag Team Match M.U.S.C.L.E.,NES,1985,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05
Year,128,2022,Bomberman,NES,1985,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0,1.03
Year,129,2061,1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0
Year,130,2261,Balloon Fight,NES,1985,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92
Year,131,3909,Wrecking Crew,NES,1985,Platform,Nintendo,0.0,0.0,0.51,0.0,0.51
Year,132,4339,Ghostbusters,2600,1985,Puzzle,Activision,0.42,0.03,0.0,0.0,0.45
Year,133,4729,Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41
Year,134,14338,Alter Ego,PC,1985,Simulation,Activision,0.0,0.03,0.0,0.01,0.03
Year,135,15870,Strongest Tokyo University Shogi DS,DS,1985,Action,Mycom,0.0,0.0,0.02,0.0,0.02
Year,136,128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
Year,137,453,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08
Year,138,549,Metroid,NES,1986,Action,Nintendo,1.33,0.31,1.04,0.05,2.73
Year,139,574,Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,0.0,0.0,2.65,0.0,2.65
Year,140,612,Dragon Warrior,NES,1986,Role-Playing,Capcom,0.49,0.0,0.52,1.51,2.52
Year,141,739,Pro Yakyuu Family Stadium,NES,1986,Sports,Namco Bandai Games,0.15,0.0,2.05,0.0,2.2
Year,142,869,Rad Racer,NES,1986,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96
Year,143,994,Kid Icarus,NES,1986,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76
Year,144,1119,Ghosts 'n Goblins,NES,1986,Action,Capcom,0.74,0.26,0.61,0.03,1.64
Year,145,1264,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,Hudson Soft,0.0,0.0,1.5,0.0,1.5
Year,146,1429,Gradius,NES,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1.0,0.01,1.36
Year,147,1625,Castlevania,NES,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23
Year,148,1677,TwinBee,NES,1986,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2
Year,149,1678,Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2
Year,150,1774,Doraemon,NES,1986,Action,Hudson Soft,0.0,0.0,1.15,0.0,1.15
Year,151,1793,Commando,NES,1986,Action,Capcom,0.71,0.16,0.25,0.03,1.14
Year,152,1973,Adventure Island,NES,1986,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05
Year,153,2160,Star Soldier,NES,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96
Year,154,3534,The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0.0,0.0,0.57,0.0,0.57
Year,155,5084,Solaris,2600,1986,Shooter,Atari,0.35,0.02,0.0,0.0,0.37
Year,156,5958,RealSports Boxing,2600,1986,Sports,Atari,0.28,0.02,0.0,0.0,0.29
Year,157,252,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
Year,158,466,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02
Year,159,603,Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,0.15,0.0,2.41,0.0,2.56
Year,160,648,Pro Wrestling,NES,1987,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4
Year,161,761,Volleyball,NES,1987,Sports,Nintendo,0.14,0.03,1.98,0.0,2.15
Year,162,1363,Pro Yakyuu Family Stadium '87,NES,1987,Sports,Namco Bandai Games,0.12,0.0,1.3,0.0,1.42
Year,163,1590,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
Year,164,2236,Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.93
Year,165,2468,Final Fantasy,NES,1987,Role-Playing,SquareSoft,0.32,0.0,0.52,0.0,0.84
Year,166,2549,Mega Man,NES,1987,Platform,Capcom,0.45,0.08,0.27,0.01,0.81
Year,167,3120,Kung-Fu Master,2600,1987,Action,Activision,0.6,0.04,0.0,0.01,0.65
Year,168,4196,Commando,2600,1987,Action,Activision,0.44,0.02,0.0,0.0,0.47
Year,169,4395,Defender II,2600,1987,Shooter,Atari,0.42,0.02,0.0,0.0,0.45
Year,170,6585,Desert Falcon,2600,1987,Shooter,Atari,0.24,0.01,0.0,0.0,0.26
Year,171,11718,Super Football,2600,1987,Sports,Atari,0.07,0.0,0.0,0.0,0.08
Year,172,11751,Super Baseball,2600,1987,Sports,Atari,0.07,0.0,0.0,0.0,0.07
Year,173,23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
Year,174,97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
Year,175,156,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
Year,176,313,Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,0.1,0.0,3.77,0.0,3.87
Year,177,639,Ice Hockey,NES,1988,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42
Year,178,766,R.C. Pro-Am,NES,1988,Racing,Nintendo,1.47,0.38,0.19,0.1,2.14
Year,179,1189,Donkey Kong Classics,NES,1988,Platform,Nintendo,0.59,0.14,0.81,0.02,1.56
Year,180,1248,Mega Man 2,NES,1988,Action,Capcom,0.93,0.15,0.42,0.01,1.51
Year,181,1352,Disney's DuckTales,GB,1988,Platform,Capcom,0.82,0.23,0.35,0.03,1.43
Year,182,1589,Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
Year,183,1710,Pro Yakyuu Family Stadium '88,NES,1988,Sports,Namco Bandai Games,0.1,0.0,1.08,0.0,1.18
Year,184,2706,Final Fantasy II,NES,1988,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0,0.76
Year,185,3942,River Raid II,2600,1988,Shooter,Activision,0.47,0.03,0.0,0.01,0.51
Year,186,6941,Rampage,2600,1988,Action,Activision,0.22,0.01,0.0,0.0,0.24
Year,187,14510,SimCity,PC,1988,Simulation,Maxis,0.0,0.02,0.0,0.01,0.03
NA_Sales,0,259,Asteroids,2600,1980,Shooter,Atari,4.0,0.26,0.0,0.05,4.31
NA_Sales,9,240,Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0.0,0.05,4.5
NA_Sales,55,90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81
NA_Sales,108,10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
NA_Sales,122,2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
NA_Sales,136,128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
NA_Sales,173,23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
NA_Sales,174,97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
NA_Sales,175,156,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
NA_Sales,188,6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
NA_Sales,189,22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
NA_Sales,191,277,Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,3.38,0.44,0.31,0.04,4.17
NA_Sales,205,19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
NA_Sales,222,255,Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34
NA_Sales,262,51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
NA_Sales,263,77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
NA_Sales,265,144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
NA_Sales,305,58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
NA_Sales,365,72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3
NA_Sales,705,5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37
NA_Sales,706,47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
NA_Sales,707,64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
NA_Sales,708,117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
NA_Sales,710,195,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12
NA_Sales,968,53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
NA_Sales,969,67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
NA_Sales,970,85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
NA_Sales,971,96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
NA_Sales,973,214,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
NA_Sales,974,279,Frogger,PS,1997,Action,Hasbro Interactive,3.79,0.27,0.0,0.11,4.16
NA_Sales,975,282,Half-Life,PC,1997,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12
NA_Sales,976,297,Star Fox 64,N64,1997,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03
NA_Sales,1257,31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
NA_Sales,1258,95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
NA_Sales,1259,106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
NA_Sales,1260,107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
NA_Sales,1261,146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
NA_Sales,1263,206,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0
NA_Sales,1636,13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1
NA_Sales,1637,70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
NA_Sales,1639,139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
NA_Sales,1640,158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
NA_Sales,1641,166,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
NA_Sales,1642,172,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
NA_Sales,1643,176,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
NA_Sales,1644,201,Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
NA_Sales,1645,203,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
NA_Sales,1646,205,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01
NA_Sales,1977,226,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
NA_Sales,2323,29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
NA_Sales,2324,39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
NA_Sales,2325,87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
NA_Sales,2326,108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
NA_Sales,2327,130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
NA_Sales,2329,163,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
NA_Sales,2331,165,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
NA_Sales,2334,265,Namco Museum,GBA,2001,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24
NA_Sales,2805,25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
NA_Sales,2806,26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
NA_Sales,2807,115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
NA_Sales,2808,132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
NA_Sales,2809,136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
NA_Sales,2813,280,Madden NFL 2003,PS2,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
NA_Sales,3633,105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
NA_Sales,3634,111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
NA_Sales,3636,183,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
